Mods count: 440
 
jar name                                                                      | mod id (isMCreator)                                        | mixin configs
fabric-loader-0.17.3.jar (modloader)                                          | fabric                                                     | 
[1.20.1-Fabric] Hybrid Aquatic 1.5.3.jar                                      | hybrid-aquatic                                             | hybrid-aquatic.fabric.mixins.json
    /META-INF/jars/reach-entity-attributes-2.4.0.jar                          | reach-entity-attributes                                    | mixins.reach-entity-attributes.json
[fabric]ctov-3.4.14.jar                                                       | ctov                                                       | ctov-common.mixins.json, ctov.mixins.json
aaa_particles-1.20.1-1.4.8-fabric.jar                                         | aaa_particles                                              | aaa_particles-common.mixins.json, aaa_particles.mixins.json
    /META-INF/jars/architectury-fabric-9.2.14.jar                             | architectury                                               | architectury.mixins.json, architectury-common.mixins.json
abridged-2.0.0-fabric-1.20.1.jar                                              | abridged                                                   | abridged.mixins.json
accessories-fabric-1.0.0-beta.48+1.20.1.jar                                   | accessories                                                | accessories-fabric.mixins.json, accessories-common.mixins.json
    /META-INF/jars/endec-0.1.8.jar                                            | io_wispforest_endec                                        | 
    /META-INF/jars/gson-0.1.5.jar                                             | io_wispforest_endec_gson                                   | 
    /META-INF/jars/netty-0.1.4.jar                                            | io_wispforest_endec_netty                                  | 
accessories_tclayer-3.8.1-beta.14+1.20.1.jar                                  | tclayer                                                    | accessories-tclayer.mixins.json
    /META-INF/jars/cardinal-components-base-5.2.2.jar                         | cardinal-components-base                                   | 
    /META-INF/jars/cardinal-components-entity-5.2.2.jar                       | cardinal-components-entity                                 | mixins.cardinal_components_entity.json
accessorify-2.3.4+1.20.1.jar                                                  | accessorify                                                | accessorify.mixins.json
    /META-INF/jars/mixinconstraints-1.1.0.jar                                 | com_moulberry_mixinconstraints                             | 
Adorn-5.0.1+1.20.1-fabric.jar                                                 | adorn                                                      | mixins.adorn.common.json, mixins.adorn.json
AdvancementPlaques-1.20.1-fabric-1.6.7.jar                                    | advancementplaques                                         | 
adventurez-1.4.20.jar                                                         | adventurez                                                 | adventurez.mixins.json
aether-1.20.1-1.5.2-beta.9-fabric.jar                                         | aether                                                     | aether.mixins.json, aether_fabric.mixins.json
    /META-INF/jars/accessors-2.3.9-beta.51+1.20.1.jar                         | porting_lib_accessors                                      | porting_lib_accessors.mixins.json
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar              | porting_lib_core                                           | 
    /META-INF/jars/asm-2.3.9-beta.51+1.20.1.jar                               | porting_lib_asm                                            | 
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar              | porting_lib_core                                           | 
    /META-INF/jars/attributes-2.3.9-beta.51+1.20.1.jar                        | porting_lib_attributes                                     | porting_lib_attributes.mixins.json
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar              | porting_lib_core                                           | 
        /META-INF/jars/reach-entity-attributes-2.4.0.jar                      | reach-entity-attributes                                    | mixins.reach-entity-attributes.json
    /META-INF/jars/base-2.3.9-beta.52+1.20.1.jar                              | porting_lib_base                                           | porting_lib_base.mixins.json
