Mods count: 364
 
jar name                                                                           | mod id (isMCreator)                           | mixin configs
fmlloader-1.20.1-47.4.18.jar (modloader)                                           | forge                                         | 
abridged-2.0.0-forge-1.20.1.jar                                                    | abridged                                      | 
adorabuild-structures-2.8.0-forge-1.20.1.jar                                       | adorabuild_structures                         | 
advancednetherite-forge-2.1.3-1.20.1.jar                                           | advancednetherite                             | 
aeroblender-1.20.1-1.0.1-neoforge.jar                                              | aeroblender                                   | aeroblender.mixins.json
aether-1.20.1-1.5.2-neoforge.jar                                                   | aether                                        | aether.mixins.json
    /META-INF/jarjar/cumulus_menus-1.20.1-1.0.1-neoforge.jar                       | cumulus_menus                                 | cumulus_menus.mixins.json
    /META-INF/jarjar/curios-forge-5.6.1+1.20.1.jar                                 | curios                                        | curios.mixins.json
    /META-INF/jarjar/nitrogen_internals-1.20.1-1.0.12-neoforge.jar                 | nitrogen_internals                            | nitrogen_internals.mixins.json
aether-redux-2.0.19-1.20.1-neoforge.jar                                            | aether_redux                                  | aether_redux.mixins.json
aether_emissivity-1.20.1-1.0.0-neoforge.jar                                        | aether_emissivity                             | aether_emissivity.mixins.json
aether_enhanced_extinguishing-1.20.1-1.0.0-neoforge.jar                            | aether_enhanced_extinguishing                 | 
aether_protect_your_moa-1.20.1-1.0.0-neoforge.jar                                  | aether_protect_your_moa                       | aether_protect_your_moa.mixins.json
    /META-INF/jarjar/nitrogen_internals-1.20.1-1.0.9-neoforge.jar                  | nitrogen_internals                            | nitrogen_internals.mixins.json
aether_treasure_reforging-1.20.1-1.0.1-neoforge.jar                                | aether_treasure_reforging                     | 
AetherVillages-1.20.1-1.0.7-forge.jar                                              | aether_villages                               | 
alexsmobs-1.22.9.jar                                                               | alexsmobs                                     | citadel.mixins.json
alltheleaks-1.1.1+1.20.1-forge.jar                                                 | alltheleaks                                   | alltheleaks.mixins.json
alternate_current-mc1.20-1.7.0.jar                                                 | alternate_current                             | alternate-current.mixins.json
amendments-1.20-2.2.5.jar                                                          | amendments                                    | amendments-common.mixins.json, amendments.mixins.json
another_furniture-forge-1.20.1-3.0.4.jar                                           | another_furniture                             | another_furniture-common.mixins.json, another_furniture.mixins.json
architectury-9.2.14-forge.jar                                                      | architectury                                  | architectury.mixins.json, architectury-common.mixins.json
ascended_quark-1.20.1-1.1.6.jar                                                    | ascended_quark                                | ascended_quark.mixins.json
ash_api-forge-3.0.2+1.20.1.jar                                                     | ash_api                                       | ash_api.forge.mixins.json, ash_api.mixins.json
athena-forge-1.20.1-3.1.2.jar                                                      | athena                                        | athena-forge.mixins.json, athena.mixins.json
Audio Improvements v1.3.1 - Forge 1.20.1.jar                                       | audioimprovements                             | mixins.audioimprovements.refmap.json, audioimprovements.mixins.json
AutochefsDelight-1.20.1-Forge-1.0.7.jar                                            | autochefsdelight                              | autochefsdelight.mixins.json
azurelib-neo-1.20.1-3.1.4.jar                                                      | azurelib                                      | azurelib.forge.mixins.json, azurelib.mixins.json
backpacked-forge-1.20.1-3.0.0-beta.9.jar                                           | backpacked                                    | backpacked.common.mixins.json, backpacked.forge.mixins.json
BadOptimizations-2.4.1-1.20.1.jar                                                  | badoptimizations                              | forge-badoptimizations.mixins.json, fabric-badoptimizations.mixins.json
baguettelib-1.20.1-Forge-1.1.6.jar                                                 | baguettelib                                   | baguettelib.mixins.json
balm-forge-1.20.1-7.3.38-all.jar                                                   | balm                                          | balm.mixins.json
    /META-INF/jarjar/kuma-api-forge-20.1.12+1.20.1.jar                             | kuma_api                                      | kuma_api.forge.mixins.json, kuma_api.mixins.json
BarteringStation-v8.0.0-1.20.1-Forge.jar                                           | barteringstation                              | barteringstation.common.mixins.json
bclib-3.0.14.jar                                                                   | bclib                                         | together.mixins.client.json, together.mixins.common.json, bclib.mixins.client.json, bclib.mixins.common.json, ui.mixins.client.json
